document_id,most_prevalent_topic_id,most_prevalent_topic_probability,text_excerpt,state,school type,grade,year,subject
0,1,0.9812821554039519,"Freizeit. bester Freundin, Sportkameradinnen und -kameraden, Spielfreundschaften, virtuelle Freundschaften, Peer-Group, Arbeitspartnerinnen und -partner, Lehrkräfte, Erwachsene als Vertrauens- und Autoritätspersonen Beziehungen in und zu religiösen Gemeinschaften Verhaltensmuster in unterschiedlichen sozialen Rollen Konkurrenz, Feindschaft, Bedrohung, Mobbing, Neid diskutieren die Bedeutung von Idolen und Vorbildern für das eigene Leben. Identifikations- und Abgrenzungsangebote bezüglich verschiedener Kriterien: Schönheit, Berühmtheit, Reichtum, Erfolg, Mut, Zivilcourage, Hilfsbereitschaft, Gewaltlosigkeit ...",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
1,5,0.4768194565840826,"von Gemeinschaften: z. B. von Schicksalsgemeinschaften Rettungsboot über Religionsgemeinschaften bis hin zu Sportvereinen Darstellung von Beispielen in einer Mindmap: Welche Zwecke verfolgen die Gemeinschaften und wie erfolgreich sind sie dabei Wettbewerb: Erfinden eines Slogans, der das Wir-Gefühl der Klasse widerspiegelt Klassengemeinschaft Die Schülerinnen und Schüler beschreiben gemeinsame Ziele und Aktivitäten der Klassengemeinschaft, unterscheiden Freundin/Freund von Mitschülerin/Mitschüler, hinterfragen Ausgrenzungen aus der Klassengemeinschaft.",Saarland,GemS,"5,6",2018.0,"Ethik, Philo"
2,2,0.9313575230783543,"der Evolution gründet auf der Fähigkeit zur Antizipation. Dazu gehören die gedankliche Vorwegnahme von Handlungsfolgen und von Bedürfnislagen sowie die entsprechende Anpassung des Verhaltens. Da aber aktuelle Bedürfnisse häufig in Konkurrenz zu den antizipierten zukünftigen stehen und einen unmittelbareren Einfluss haben, bedarf es geeigneter Kontrollmechanismen. Am Beispiel von Odysseus Vorbereitungen angesichts der Bedrohung durch die Sirenen werden zwei wesentliche Fähigkeiten des",,,,2006.0,"Ethik, Philo"
3,5,0.9674304986699437,"werden: die Lektüre einer komplexeren Ganzschrift das Verhältnis von Philosophie und Kunst, Literatur, Film, Musik, Naturwissenschaften oder Religion außereuropäische philosophische Richtungen Fremdsprachiger Sachfachunterricht Die zunehmende internationale Kooperation und der globale Wettbewerb verändern die Erwartungen an Lernende. Die Fähigkeit, Vorträge, Texte und Materialien zu einer Vielfalt von Themen in einer Fremdsprache verstehen und präsentieren zu können, wird an Hochschulen von den Studierenden",Berlin,Gym,Sek2,2022.0,"Ethik, Philo"
4,5,0.4768194565840826,"von Gemeinschaften: z. B. von Schicksalsgemeinschaften Rettungsboot über Religionsgemeinschaften bis hin zu Sportvereinen Darstellung von Beispielen in einer Mindmap: Welche Zwecke verfolgen die Gemeinschaften und wie erfolgreich sind sie dabei Wettbewerb: Erfinden eines Slogans, der das Wir-Gefühl der Klasse widerspiegelt Klassengemeinschaft Die Schülerinnen und Schüler beschreiben gemeinsame Ziele und Aktivitäten der Klassengemeinschaft, unterscheiden Freundin/Freund von Mitschülerin/Mitschüler, hinterfragen Ausgrenzungen aus der Klassengemeinschaft.",Saarland,Gym,"5,6",2018.0,"Ethik, Philo"
5,3,0.9713839677842839,"eine besondere Lernleistung einbringen, die im Rahmen oder Umfang eines mindestens zwei Halbjahre umfassenden Kurses erbracht wird. Als besondere Lernleistung können ein umfassender Beitrag aus einem von den Ländern geförderten Wettbewerb, die Ergebnisse des p g Projektkurses oder eines umfassenden fachlichen oder fachübergreifenden Projektes gelten. Die Absicht, eine besondere Lernleistung zu erbringen, muss spätestens zu Beginn des zweiten Jahres der Qualifikationsphase",NRW,Gym,Sek2,2014.0,"Ethik, Philo"
6,1,0.9820586867058769,"bester Freundin, Sportkameradinnen und -kameraden, Spielfreundschaften, virtuelle Freundschaften, Peer-Group, Arbeitspartnerinnen und -partner, Lehrkräfte, Erwachsene als Vertrauens- und Autoritätspersonen Beziehungen in und zu religiösen Gemeinschaften erläutern Verhaltensmuster in unterschiedlichen sozialen Rollen Konkurrenz, Feindschaft, Bedrohung, Mobbing, Neid diskutieren die Bedeutung von Idolen und Vorbildern für das eigene Leben. Identifikations- und Abgrenzungsangebote bezüglich verschiedener Kriterien: Schönheit, Berühmtheit, Reichtum, Erfolg, Mut, Zivilcourage, Hilfsbereitschaft, Gewaltlosigkeit ...",Niedersachsen,Gesamtschule,,2017.0,"Ethik, Philo"
7,1,0.4605556289915459,"und Rücksichtnahme gegenüber der Natur diskutieren Spekulative Kompetenz - ein fantasievolles Projekt zum Klimaschutz entwerfen Grundlegende Wissensbestände - Ehrfurcht vor dem Leben bei A. Schweitzer - Mensch-Natur-Verhältnis z. B. Verwandtschaft, Konkurrenz, Herrschaft - Verantwortung als Relationsbegriff z. B. sich für etwas vor jemandem verantworten Möglichkeiten zur Abstimmung in den Schuljahrgängen / - Geographie: Die Erde als Planet und Lebensraum beschreiben die",Sachsen-Anhalt,Gym,,2022.0,"Ethik, Philo"
8,2,0.5665943035756787,- die Einschätzbarkeit von Risiken technischer Innovationen und der modernen Infrastruktur problematisieren Hermeneutische Kompetenz - Verantwortungsethik als Antwort der Gegenwart auf den erweiterten technischen Fortschritt interpretieren Analytische Kompetenz - die Konkurrenz von Zweckrationalität und Verantwortung angesichts der normativen Kraft des Faktischen untersuchen Dialektische Kompetenz - ökologische Konsequenzen des Wachstumsdenkens und Möglichkeiten für eine Postwachstumsgesellschaft erörtern Spekulative Kompetenz - Ideen für verantwortungsvolles,Sachsen-Anhalt,Gym,,2022.0,"Ethik, Philo"
9,1,0.5184200286320219,"- den Fairness-Gedanken auf den Umgang mit sich selbst, auf Leistungsansprüche und Selbstbewertung übertragen Grundlegende Wissensbestände - Fairness als Verlässlichkeit und Angemessenheit im sozialen Miteinander - Fairness als Chancengleichheit im Wettbewerb - Universalität und Unteilbarkeit der Menschenrechte Möglichkeiten zur Abstimmung im Schuljahrgang - Sport: Spielen Regeln der Fairness formulieren und beachten Bezüge zu den fächerübergreifenden Themen gemäß Grundsatzband Kap. Bildung, Kultur",Sachsen-Anhalt,Gym,,2022.0,"Ethik, Philo"
